,0,1,2,3,4
3,1.0,Afdis Distillers Limited,233.3333,260.0,600.0
4,,,,,
5,2.0,Amalgamated Regional Trading (Art) Holdings Limited,8.0825,8.0825,0.0
6,,,,,
7,,,,,
8,3.0,Ariston Holdings Limited,3.7877,3.8666,14500.0
9,,,,,
10,4.0,Bridgefort Capital Limited,1.4007,1.4007,0.0
11,,,,,
12,5.0,Bridgefort Capital Limited Class B,1.3207,1.3207,0.0
13,,,,,
14,6.0,British American Tobacco Zimbabwe Limited,2482.4583,2482.4583,0.0
15,,,,,
16,,,,,
17,7.0,Cafca Limited,621.3121,621.3121,0.0
18,,,,,
19,8.0,Cbz Holdings Limited,360.0,360.0,0.0
20,,,,,
21,9.0,Cfi Holdings Limited,140.05,140.05,0.0
22,,,,,
23,10.0,Dairibord Holdings Limited,73.0,73.0583,10300.0
24,,,,,
25,11.0,Delta Corporation Limited,823.607,824.9872,77500.0
26,,,,,
27,12.0,Ecocash Holdings Zimbabwe Limited,19.5443,17.86705062,924600.0
28,,,,,
29,13.0,Econet Wireless Zimbabwe Limited,194.5714,201.0449,712000.0
30,,,,,
31,14.0,Fbc Holdings Limited,184.2919,184.2919,0.0
32,,,,,
33,15.0,Fidelity Life Assurance Limited,75.0,86.0,10000.0
34,,,,,
35,16.0,First Mutual Holdings Limited,205.0,205.0,500.0
36,,,,,
37,17.0,First Mutual Properties Limited,36.9917,37.0,500.0
38,,,,,
39,18.0,General Beltings Holdings Limited,4.9022,5.0025,8100.0
40,,,,,
41,19.0,Hippo Valley Estates Limited,420.0,483.0,30500.0
42,,,,,
43,20.0,Mashonaland Holdings Limited,14.05,14.0909,1100.0
44,,,,,
45,21.0,Masimba Holdings Limited,153.95,153.95,0.0
46,,,,,
47,22.0,Meikles Limited,310.0,356.0,800.0
48,,,,,
49,23.0,Nampak Zimbabwe Limited,39.9,39.9,4600.0
50,,,,,
51,24.0,National Tyre Services Limited,12.8064,12.8064,0.0
52,,,,,
53,25.0,Nmbz Holdings Limited,185.25,185.25,0.0
54,,,,,
55,26.0,Ok Zimbabwe Limited,40.1046,44.7904,147700.0
56,,,,,
57,27.0,Proplastics Limited,44.0,44.0,0.0
58,,,,,
59,28.0,Rainbow Tourism Group Limited,21.25,21.25,900.0
60,,,,,
61,29.0,Riozim Limited,63.0,63.0,0.0
62,,,,,
63,30.0,Seed Co Limited,177.3422,176.9505,39300.0
64,,,,,
65,31.0,Starafricacorporation Limited,0.652,0.676,2500.0
66,,,,,
67,32.0,Tanganda Tea Company Limited,145.1969,156.5714,700.0
68,,,,,
69,33.0,Tsl Limited,105.0,106.1293,5800.0
70,,,,,
71,34.0,Turnall Holdings Limited,2.73,2.744,33000.0
72,,,,,
73,35.0,Unifreight Africa Limited,26.0,26.0,0.0
74,36.0,Willdale Limited,3.8,4.0456,138200.0
75,,,,,
76,37.0,Zb Financial Holdings Limited,190.0,190.0,0.0
77,,,,,
78,38.0,Zeco Holdings Limited,0.0018,0.0018,0.0
79,,,,,
80,39.0,Zimbabwe Newspapers (1980) Limited,4.66,4.66,0.0
81,,,,,
82,40.0,Zimre Holdings Limited,33.95,33.9431,23200.0
