,0,1,2,3,4
3,,EQUITIES,,,
4,,,,,
5,1.0,Afdis Distillers Limited,1739.2638,1739.2638,0.0
6,,,,,
7,2.0,Amalgamated Regional Trading (Art) Holdings Limited,46.3464,46.35,1400.0
8,,,,,
9,,,,,
10,3.0,Ariston Holdings Limited,31.5235,31.5833,1200.0
11,,,,,
12,4.0,Bridgefort Capital Limited,16.5909,16.5909,0.0
13,,,,,
14,5.0,Bridgefort Capital Limited Class B,33.65,33.65,0.0
15,,,,,
16,6.0,British American Tobacco Zimbabwe Limited,15985.0,15400.0,1000.0
17,,,,,
18,,,,,
19,7.0,Cafca Limited,2399.6,2399.6,0.0
20,,,,,
21,8.0,Cbz Holdings Limited,1240.1,1423.0,700.0
22,,,,,
23,9.0,Cfi Holdings Limited,2200.1,2200.1,0.0
24,,,,,
25,10.0,Dairibord Holdings Limited,416.0,418.5188,159200.0
26,,,,,
27,11.0,Delta Corporation Limited,2300.1401,2302.831,125500.0
28,,,,,
29,12.0,Ecocash Holdings Zimbabwe Limited,137.5,137.0,300.0
30,,,,,
31,13.0,Econet Wireless Zimbabwe Limited,471.4673,475.2327,1101800.0
32,,,,,
33,14.0,Edgars Stores Limited,89.5264,89.5264,0.0
34,,,,,
35,15.0,Fbc Holdings Limited,800.0,800.0,400.0
36,,,,,
37,16.0,Fidelity Life Assurance Limited,150.0,150.0,0.0
38,,,,,
39,17.0,First Mutual Holdings Limited,320.0,359.1538,2600.0
40,,,,,
41,18.0,First Mutual Properties Limited,120.0,120.0,2000.0
42,,,,,
43,19.0,General Beltings Holdings Limited,10.0,10.1455,30800.0
44,,,,,
45,20.0,Hippo Valley Estates Limited,1833.0,1834.4735,15500.0
46,,,,,
47,21.0,Mashonaland Holdings Limited,125.0,124.95,162300.0
48,,,,,
49,22.0,Masimba Holdings Limited,804.7935,805.0,63000.0
50,,,,,
51,23.0,Meikles Limited,721.837,721.9366,50200.0
52,,,,,
53,24.0,Nampak Zimbabwe Limited,326.0,326.0,0.0
54,,,,,
55,25.0,National Tyre Services Limited,24.7,24.7,0.0
56,,,,,
57,26.0,Nmbz Holdings Limited,252.0,252.0,0.0
58,,,,,
59,27.0,Ok Zimbabwe Limited,135.9746,135.0919,183100.0
60,,,,,
61,28.0,Proplastics Limited,610.0,611.5,500.0
62,,,,,
63,29.0,Rainbow Tourism Group Limited,138.0,138.0,500.0
64,,,,,
65,30.0,Riozim Limited,690.0,690.0,0.0
66,,,,,
67,31.0,Seed Co Limited,600.0,600.0,34000.0
68,,,,,
69,32.0,Starafricacorporation Limited,4.99,4.985,13900.0
70,,,,,
71,33.0,Tanganda Tea Company Limited,910.0083,911.05,17400.0
72,,,,,
73,34.0,Truworths Limited,19.9895,19.9895,0.0
74,35.0,Tsl Limited,500.0,498.875,400.0
75,,,,,
76,36.0,Turnall Holdings Limited,26.78,26.3,3700.0
77,,,,,
78,37.0,Unifreight Africa Limited,258.0,258.0,0.0
79,,,,,
80,38.0,Willdale Limited,10.0,10.0,0.0
81,,,,,
82,39.0,Zb Financial Holdings Limited,688.0,688.0,0.0
83,,,,,
84,40.0,Zeco Holdings Limited,0.0331,0.0331,0.0
85,,,,,
86,41.0,Zimbabwe Newspapers (1980) Limited,14.4432,14.4432,0.0
87,,,,,
88,42.0,Zimre Holdings Limited,90.1,90.6889,23400.0
