,0,1,2,3
3,Afdis Distillers Limited,690.0,690.0,8700.0
4,,,,
5,Amalgamated Regional Trading (Art) Holdings Limited,71.0,71.0,0.0
6,,,,
7,,,,
8,Ariston Holdings Limited,8.0,8.0,0.0
9,,,,
10,British American Tobacco Zimbabwe Limited,13100.0,13100.0,0.0
11,,,,
12,,,,
13,Cafca Limited,2050.0,2050.0,0.0
14,,,,
15,Cbz Holdings Limited,1290.0,1290.0,0.0
16,,,,
17,Cfi Holdings Limited,492.25,418.45,1000.0
18,,,,
19,Dairibord Holdings Limited,195.05,195.05,0.0
20,,,,
21,Delta Corporation Limited,1989.9834,1952.4766,40300.0
22,,,,
23,Ecocash Holdings Zimbabwe Limited,42.0,40.5149,5700.0
24,,,,
25,Econet Wireless Zimbabwe Limited,353.5755,349.6778,135100.0
26,,,,
27,Fbc Holdings Limited,1200.0,1200.0,0.0
28,,,,
29,Fidelity Life Assurance Limited,100.0,100.0,0.0
30,,,,
31,First Mutual Holdings Limited,449.95,449.95,0.0
32,,,,
33,First Mutual Properties Limited,95.0,95.0,200.0
34,,,,
35,General Beltings Holdings Limited,6.0,6.0,300.0
36,,,,
37,Hippo Valley Estates Limited,926.6628,926.6628,0.0
38,,,,
39,Mashonaland Holdings Limited,269.9167,269.9167,0.0
40,,,,
41,Masimba Holdings Limited,298.25,298.25,0.0
42,,,,
43,Nampak Zimbabwe Limited,95.0,107.0,110200.0
44,,,,
45,National Tyre Services Limited,50.0,50.0,0.0
46,,,,
47,Nmbz Holdings Limited,370.0322,370.0549,110800.0
48,,,,
49,Ok Zimbabwe Limited,65.0,64.9513,388400.0
50,,,,
51,Proplastics Limited,248.0,248.0,0.0
52,,,,
53,Rainbow Tourism Group Limited,65.0,65.0,0.0
54,,,,
55,Riozim Limited,130.0,130.0,0.0
56,,,,
57,Seed Co Limited,499.1579,493.6617,71700.0
58,,,,
59,Starafricacorporation Limited,2.361,2.3234,119000.0
60,,,,
61,Tanganda Tea Company Limited,360.0,353.6182,1100.0
62,,,,
63,Tsl Limited,253.0,253.0,0.0
64,,,,
65,Turnall Holdings Limited,6.0,6.0,8000.0
66,,,,
67,Unifreight Africa Limited,250.0,250.0,0.0
68,,,,
69,Willdale Limited,7.3167,7.5,3400.0
70,,,,
71,Zb Financial Holdings Limited,730.0,730.0,0.0
72,,,,
73,Zeco Holdings Limited,0.0018,0.0018,0.0
74,Zimbabwe Newspapers (1980) Limited,6.0,6.0,0.0
75,,,,
76,Zimre Holdings Limited,43.25,45.0,26900.0
77,,,,1030800.0
78,,,,
79,,,,1030800.0
