,0,1,2,3
3,Afdis Distillers Limited,690.0,691.0,2200.0
4,,,,
5,Amalgamated Regional Trading (Art) Holdings Limited,60.35,60.35,3300.0
6,,,,
7,,,,
8,Ariston Holdings Limited,7.3407,7.02,6600.0
9,,,,
10,British American Tobacco Zimbabwe Limited,13100.0,13100.0,0.0
11,,,,
12,,,,
13,Cafca Limited,2050.0,2050.0,0.0
14,,,,
15,Cbz Holdings Limited,1220.0,1200.0,200.0
16,,,,
17,Cfi Holdings Limited,418.45,481.2,300.0
18,,,,
19,Dairibord Holdings Limited,195.05,195.05,0.0
20,,,,
21,Delta Corporation Limited,1890.7258,1885.1505,44200.0
22,,,,
23,Ecocash Holdings Zimbabwe Limited,39.9315,39.15,2900.0
24,,,,
25,Econet Wireless Zimbabwe Limited,352.1839,330.6671,499500.0
26,,,,
27,Fbc Holdings Limited,1200.0,1200.0,99600.0
28,,,,
29,Fidelity Life Assurance Limited,100.0,100.0,0.0
30,,,,
31,First Mutual Holdings Limited,449.95,449.95,0.0
32,,,,
33,First Mutual Properties Limited,95.0,95.0,10000.0
34,,,,
35,General Beltings Holdings Limited,6.0,6.0,0.0
36,,,,
37,Hippo Valley Estates Limited,926.6628,926.6628,0.0
38,,,,
39,Mashonaland Holdings Limited,269.9167,269.9167,0.0
40,,,,
41,Masimba Holdings Limited,298.2024,298.2024,0.0
42,,,,
43,Nampak Zimbabwe Limited,120.0,130.0,500.0
44,,,,
45,National Tyre Services Limited,50.0,50.0,0.0
46,,,,
47,Nmbz Holdings Limited,370.0549,365.125,400.0
48,,,,
49,Ok Zimbabwe Limited,65.7131,65.8478,4600.0
50,,,,
51,Proplastics Limited,243.5125,248.0,200.0
52,,,,
53,Rainbow Tourism Group Limited,65.0,65.0,0.0
54,,,,
55,Riozim Limited,130.0,130.0,0.0
56,,,,
57,Seed Co Limited,499.95,478.8302,50200.0
58,,,,
59,Starafricacorporation Limited,2.4104,2.42,117500.0
60,,,,
61,Tanganda Tea Company Limited,336.25,347.2143,700.0
62,,,,
63,Tsl Limited,253.0,253.0,100.0
64,,,,
65,Turnall Holdings Limited,6.0,6.0,0.0
66,,,,
67,Unifreight Africa Limited,250.0,250.0,0.0
68,,,,
69,Willdale Limited,7.02,7.02,70500.0
70,,,,
71,Zb Financial Holdings Limited,730.0,730.0,0.0
72,,,,
73,Zeco Holdings Limited,0.0018,0.0018,0.0
74,Zimbabwe Newspapers (1980) Limited,6.0,6.0,0.0
75,,,,
76,Zimre Holdings Limited,45.0,41.0,1400.0
77,,,,914900.0
78,,,,
79,,,,914900.0
